point_name,position,distance_cm,height_cm,common_dose_x_cm,common_dose_y_cm,common_dose_z_cm,gamma_flux_x_cm,gamma_flux_y_cm,gamma_flux_z_cm,analysis_height_interval,analysis_height_interval_label,target_grid_origin,geometry_reconstruction_mode,measured_neutron_ap_component_uSv_h,u_measured_neutron_ap_component_uSv_h,measured_gamma_ap_component_uSv_h,u_measured_gamma_ap_component_uSv_h,measured_total_ap_estimate_uSv_h,u_measured_total_ap_estimate_uSv_h,neutron_component_available,gamma_component_available,total_estimate_available,neutron_height_interpolation_mode,gamma_height_interpolation_mode,neutron_support_minimum_height_cm,neutron_support_maximum_height_cm,gamma_support_minimum_height_cm,gamma_support_maximum_height_cm,horizontal_position_limit_cm,vertical_uncertainty_scope,result_status,relative_total_uncertainty_percent
P3_x300_h45,P3,300.0,45.0,353.25,0.0,4.0,344.405,0.0,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,2.8111480865224623,1.9308620258442493,,,,,True,False,False,single measured height represents interval,unavailable,45.0,45.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
N5_P3_x320_h45,P3,320.0,45.0,373.24999999999983,0.0,3.999999999999986,364.40499999999986,0.0,3.999999999999986,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,,,,,,,False,False,False,unavailable,unavailable,,,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x0_h85,P3,0.0,85.0,53.25,0.0,44.0,44.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,37.08735440931782,3.9488126617606047,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x5_h85,P3,5.0,85.0,58.25,0.0,44.0,49.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,34.50831946755408,3.8301502893117574,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x57_h85,P3,57.0,85.0,110.25,0.0,44.0,101.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,17.13727121464226,3.217903113193723,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x100_h85,P3,100.0,85.0,153.25,0.0,44.0,144.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,12.295341098169715,3.4092905135477105,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x114_h85,P3,114.0,85.0,167.25,0.0,44.0,158.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,10.348585690515804,2.5119258228191286,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x176_h85,P3,176.0,85.0,229.25,0.0,44.0,220.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,6.383333333333335,2.4786888871600827,0.2535697446460502,0.15906367359356416,6.636903077979385,2.4837874006420053,True,True,True,single measured height represents interval,single measured height represents interval,85.0,85.0,88.0,88.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,37.42389140626411
P3_x200_h85,P3,200.0,85.0,253.25,0.0,44.0,244.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,4.65,1.8715916498101461,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x225_h85,P3,225.0,85.0,278.25,0.0,44.0,269.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,3.4833333333333334,1.6167116001150756,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x300_h85,P3,300.0,85.0,353.25,0.0,44.0,344.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,2.079034941763727,1.2674227536101352,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P3_x400_h85,P3,400.0,85.0,453.25,0.0,44.0,444.405,0.0,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,0.7666666666666666,0.6485274277536985,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P4_x0_h42,P4,0.0,42.0,50.10139789775538,41.10139789775538,1.0,43.84703841816037,34.84703841816037,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,43.14166666666667,5.130428085648809,2.935941378602709,0.8061332341125823,46.07760804526938,5.193374927073426,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,58.0,58.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,11.270929953592962
P4_x20_h42,P4,20.0,42.0,64.24353352148633,55.243533521486334,1.0,57.98917404189133,48.98917404189133,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,27.43333333333333,3.7531335897336917,2.1342107284304856,0.5917528938416705,29.567544061763815,3.7994977601990105,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,58.0,58.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,12.850231159754822
P4_x71_h42,P4,71.0,42.0,100.30597936200024,91.30597936200024,1.0,94.05161988240523,85.05161988240525,1.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,71.89600665557404,15.38606506140286,0.9250738271217954,0.2690908070372506,72.82108048269583,15.388417980291338,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,58.0,58.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,21.131817707577166
N5_P4_x85_h42,P4,85.0,42.0,110.20547429861185,101.20547429861186,0.9999999999999787,103.95111481901687,94.95111481901688,0.9999999999999787,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,12.922148209825146,2.9630673250710706,,,,,True,False,False,single measured height represents interval,unavailable,45.0,45.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
N5_P4_x0_h45,P4,0.0,45.0,50.101397897755334,41.101397897755334,3.9999999999999787,43.84703841816031,34.84703841816035,3.9999999999999787,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,43.14166666666667,5.130428085648809,2.935941378602709,0.8061332341125823,46.07760804526938,5.193374927073426,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,58.0,58.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,11.270929953592962
N5_P4_x20_h45,P4,20.0,45.0,64.24353352148628,55.243533521486285,3.9999999999999787,57.98917404189127,48.9891740418913,3.9999999999999787,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,27.43333333333333,3.7531335897336917,2.1342107284304856,0.5917528938416705,29.567544061763815,3.7994977601990105,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,58.0,58.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,12.850231159754822
N5_P4_x71_h45,P4,71.0,45.0,100.30597936200019,91.30597936200019,3.9999999999999787,94.0516198824052,85.05161988240522,3.9999999999999787,lower,Lower height interval (38–65 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,71.89600665557404,15.38606506140286,0.9250738271217954,0.2690908070372506,72.82108048269583,15.388417980291338,True,True,True,single measured height represents interval,single measured height represents interval,42.0,42.0,58.0,58.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,21.131817707577166
P4_x85_h45,P4,85.0,45.0,110.20547429861192,101.20547429861192,4.0,103.95111481901692,94.95111481901692,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,12.922148209825146,2.9630673250710706,,,,,True,False,False,single measured height represents interval,unavailable,45.0,45.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
N5_P4_x138_h113,P4,138.0,113.0,147.6821337014988,138.68213370149886,71.99999999999997,141.42777422190383,132.42777422190383,71.99999999999997,upper,Upper height interval (85–113 cm),measured distance added to Notebook 3 target height,position-specific least-squares Notebook 3 coordinate plane,,,,,,,False,False,False,unavailable,unavailable,,,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P4_x152_h113,P4,152.0,113.0,157.5816286381106,148.5816286381106,72.0,151.3272691585156,142.3272691585156,72.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,4.487510407993339,1.3722526890169302,,,,,True,False,False,single measured height represents interval,unavailable,113.0,113.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P5_x0_h45,P5,0.0,45.0,0.0,44.25,4.0,0.0,35.405,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,250.87458926615562,24.561680514635324,15.038246705548511,1.4631574609398048,265.9128359717041,24.605222605343776,True,True,True,single measured height represents interval,single measured height represents interval,45.0,45.0,40.0,40.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,9.253115787145388
P5_x6_h45,P5,6.0,45.0,0.0,50.25,4.0,0.0,41.405,4.0,lower,Lower height interval (38–65 cm),Notebook 3 target point,original Notebook 3 geometry,193.56666666666663,11.185854298950954,12.418098370247066,1.4805769454285564,205.9847650369137,11.283414575769788,True,True,True,single measured height represents interval,interpolated between measured heights,45.0,45.0,40.0,60.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,5.477790832612175
P5_x0_h85,P5,0.0,85.0,0.0,44.25,44.0,0.0,35.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,51.51338538761853,4.7285273441513365,,,,,True,False,False,single measured height represents interval,unavailable,85.0,85.0,,,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,
P5_x6_h85,P5,6.0,85.0,0.0,50.25,44.0,0.0,41.405,44.0,upper,Upper height interval (85–113 cm),Notebook 3 target point,original Notebook 3 geometry,44.666666666666664,4.62379622715073,12.912692835266954,0.9092158016323225,57.57935950193362,4.712341766484179,True,True,True,single measured height represents interval,single measured height represents interval,85.0,85.0,85.0,85.0,1.0,measurement SEM plus Notebook 3 MC factor uncertainty; component statistics combined as independent,theory-assisted AP component sum; not an independent direct total measurement,8.184081600153837
